index,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10378,31956433,1782579,Courtney,78756,30.32609,-97.73703,Entire home/apt,115,1,4,5/4/2019,1.41,1,133
10379,31957101,2742367,Kris,78753,30.36697,-97.67942,Entire home/apt,98,2,3,3/15/2019,1.13,1,0
10380,31958781,113268848,Kristen And Bryan,78705,30.29305,-97.72128,Entire home/apt,155,1,11,4/29/2019,3.27,14,332
10381,31958980,109913527,Andrew,78704,30.22606,-97.76045,Entire home/apt,125,2,5,5/13/2019,5,1,30
10382,31960953,48184514,Kevin,78741,30.24025,-97.72646,Entire home/apt,197,2,1,1/31/2019,0.29,1,0
10383,31961041,71128668,Emily,78725,30.26009,-97.66977,Private room,60,2,3,5/5/2019,1.53,1,4
10384,31961389,212494901,Shane,78744,30.20036,-97.72918,Private room,200,1,10,5/13/2019,4.17,1,165
10387,31965235,6492477,Amanda,78704,30.25152,-97.74374,Entire home/apt,150,2,12,5/5/2019,5.81,2,162
10388,31977380,239746294,Jennifer And Nick,78757,30.36965,-97.73439,Entire home/apt,103,30,1,5/4/2019,1,1,110
10389,31978342,178984907,Heather And Nick,78759,30.40447,-97.74885,Entire home/apt,90,1,12,5/12/2019,4.09,1,2
10390,31980738,235442024,Beth,78704,30.23564,-97.74225,Entire home/apt,279,2,8,5/5/2019,3.75,10,59
10391,31982834,54664600,Victoria,78702,30.26046,-97.73462,Entire home/apt,400,3,5,4/28/2019,1.88,2,4
10392,31984965,104309976,WanderJaunt,78741,30.24055,-97.72435,Entire home/apt,10000,1,16,5/13/2019,4.85,55,161
10393,31985645,4642874,Daniel,78741,30.21718,-97.73687,Entire home/apt,90,1,11,3/24/2019,3.14,4,137
10394,31987948,38020589,Trey,78745,30.21757,-97.77195,Entire home/apt,100,2,7,5/5/2019,3.18,1,0
10395,31990610,14065576,Megan,78745,30.20707,-97.7828,Entire home/apt,245,3,1,3/10/2019,0.45,1,85
10396,31991476,189106777,Mathew,78745,30.21729,-97.76605,Entire home/apt,140,1,3,3/17/2019,1.03,1,0
10397,31991676,114090932,Austin,78704,30.22774,-97.77121,Private room,60,1,1,2/18/2019,0.35,2,89
10398,31993273,5100685,Colleen,78722,30.2931,-97.71919,Entire home/apt,125,2,2,3/31/2019,0.95,3,286
10399,31993601,147716058,Trish,78734,30.38341,-97.93234,Entire home/apt,180,2,7,5/8/2019,2.41,4,176
10400,31995721,12810791,Igor,78741,30.22107,-97.74406,Private room,39,2,3,3/25/2019,1.2,2,289
10402,32015331,171466046,George,78741,30.23119,-97.73772,Private room,39,1,6,5/5/2019,2.81,1,177
10403,32017162,1727562,Cynthia,78753,30.35887,-97.69891,Entire home/apt,155,1,7,5/12/2019,3.18,1,157
10404,32018575,159048610,Nidia,78754,30.35723,-97.64041,Entire home/apt,85,1,9,5/5/2019,2.87,1,35
10405,32018669,152495121,Cody,78745,30.19592,-97.79442,Entire home/apt,200,1,5,5/5/2019,1.76,1,178
10406,32019572,29052794,Shawn,78748,30.18271,-97.78859,Private room,45,1,1,2/10/2019,0.32,1,0
10408,32019895,240073068,Dan,78704,30.24294,-97.7805,Entire home/apt,300,2,1,3/12/2019,0.47,1,0
10411,32022319,86512868,Brandon,78704,30.23696,-97.7815,Entire home/apt,114,1,21,5/10/2019,8.75,2,63
10412,32022565,4642874,Daniel,78741,30.21688,-97.73666,Entire home/apt,100,1,17,5/14/2019,5.43,4,0
10413,32036121,114366966,Deanna,78723,30.28461,-97.69939,Entire home/apt,200,1,10,5/6/2019,3.45,1,132
10414,32037415,240198115,Nalini,78751,30.32119,-97.72769,Entire home/apt,200,2,7,5/12/2019,2.76,1,332
10415,32039409,24411183,Toby,78702,30.26276,-97.70564,Private room,175,2,4,4/13/2019,1.26,1,153
10416,32043806,238960122,The Guild,78701,30.26994,-97.73537,Entire home/apt,100,1,87,5/13/2019,30.35,1,322
