id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32965060,*NO GUEST SERVICE FEE* The Arrive Clarksville Retreat,157959474,Red Awning,,78703,30.29516,-97.77149,Entire home/apt,3343,3,0,,,24,218
32965145,*NO GUEST SERVICE FEE* EDGEWATER HOME,157959474,Red Awning,,78734,30.38174,-97.97786,Entire home/apt,342,28,0,,,24,133
32965187,Cozy bed and bath close to downtown,184414411,Jameel,,78741,30.22665,-97.73978,Private room,100,2,0,,,1,162
32966021,Waterfront On Lake Austin Beachfront Boat Dock,67818609,Suzanne,,78732,30.38483,-97.91193,Entire home/apt,1000,2,2,2019-05-05,2,1,124
32967085,The Treehouse: Cozy Renovated East Austin Oasis,54299904,Emeka,,78723,30.32203,-97.67082,Entire home/apt,200,2,2,2019-04-21,1.58,1,34
32967194,"Relax, Shop, or Enjoy Night Life; Stylish Duplex",37833910,Amin,,78758,30.38066,-97.7099,Entire home/apt,200,1,12,2019-05-10,6.10,2,81
32974880,Quiet Suburban Getaway,50248105,Candice And Jamison,,78747,30.14789,-97.74239,Private room,45,2,2,2019-05-06,2,1,118
32980267,Bright Bungalow in Austin's Best Neighborhood!,2934425,Tupelo Property Management,,78704,30.25419,-97.7565,Entire home/apt,125,1,8,2019-05-12,5.85,12,165
32981094,"Quiet, private space less than 5 miles from DT",196924263,Collyn,,78741,30.21866,-97.69334,Private room,99,1,7,2019-04-29,4.47,1,174
32982758,Spacious Bedroom Right Next to Downtown,18013221,Mila,,78702,30.27011,-97.72534,Private room,54,2,0,,,1,7
32983388,Private Bedroom in Zilker - 20 min walk Downtown,15468198,Hannah,,78704,30.25651,-97.76584,Private room,170,2,1,2019-03-17,0.51,1,17
32983552,Tent place and a parking space during sxsw!!!!!,177411568,Joseph,,78725,30.26522,-97.62841,Shared room,50,1,0,,,2,90
32983934,Fiesta like there's no manana!,20704282,Catherine,,78734,30.38225,-97.932,Entire home/apt,265,2,3,2019-04-28,1.53,3,170
32983944,"Casa Vaquero - Explore downtown, Zilker, SoCo!",2934425,Tupelo Property Management,,78704,30.25601,-97.75843,Entire home/apt,125,1,9,2019-04-30,6.28,12,144
32984296,Downtown in Minutes! East Austin WHOLE PLACE,6778814,Ian,,78741,30.23477,-97.69957,Entire home/apt,250,1,0,,,2,12
32984499,Chic North Austin Apartment,32431107,Brittany,,78728,30.43927,-97.69074,Entire home/apt,75,1,12,2019-05-12,5.71,1,38
32986184,"Apartment w/ kitchen, gym,&pool- Near UT & D-town",106410215,Murtaza Ali,,78705,30.28821,-97.74354,Entire home/apt,64,1,1,2019-04-27,1,2,31
32987222,Guest Room in the heart of Austin! 7 min from DT!,242081435,Diana,,78704,30.23846,-97.76032,Private room,80,2,6,2019-05-06,4.86,1,18
32987641,"Apartment w/ kitchen, gym, & pool- Near UT/D-town",248270004,Sanna,,78705,30.28656,-97.74432,Entire home/apt,78,1,2,2019-04-14,1.13,1,37
32988955,Bright and homey studio apartment in Austin.,133473005,Nadia,,78745,30.19699,-97.79142,Entire home/apt,75,1,7,2019-05-04,3.56,1,38
32990297,Cozy 2 bedroom on the East Side - Sleeps 6!,195003107,GiGi,,78702,30.27524,-97.70543,Entire home/apt,115,3,5,2019-04-29,2.94,9,340
32990581,Guestroom in East Austin House - 1 mile Downtown,66649562,Tonia,,78702,30.26511,-97.71652,Private room,150,1,0,,,2,169
32991115,This is Austin. What else need i say?  Welcome!,131626259,Sandi,,78745,30.19146,-97.83209,Private room,125,1,0,,,1,63
32993107,Bull Creek Comfort,137707769,Micah,,78759,30.38535,-97.765,Entire home/apt,66,1,2,2019-05-05,1.15,1,63
32993922,The Austin Element Waterfront Suite on Town Lake,1649731,Sean,,78741,30.24441,-97.72725,Private room,75,2,3,2019-05-05,2.81,3,87
